place_id,p_nameTH,p_nameEN,p_type,lat,long,x (easting),y (northing),web,tel,description
1,ฟอลอินเค้ก,fall in C•A•K•E ,ร้านอาหารและคาเฟ่,18.7659248,98.9897888,498923.8,2074927.93,https://www.facebook.com/fallincakecm,"081-024-8119, 053-283-421",คาเฟ่สุดชิคสไตล์ Minimal โทนอุ่นๆด้วยการตกแต่งร้านเน้นความโปร่งโล่งสบาย ให้ความรู้สึกไม่อึดอัดด้วยโทนสีหลักแบบ Pastel แถมมีมุมถ่ายภาพสวยๆ และเมนูของทางร้านมีให้เลือกมากมาย ทั้งเครื่องดื่มร้อน เย็น ขนม ของหวาน อาหารจานหลัก และที่พิเศษสุดเมนูเค้ก  และขนมปัง ที่หลากหลาย
2,ภูฟิน ดอย,Phufinn Doi,ร้านอาหารและคาเฟ่,18.6955043,98.8779288,487128.84,2067140.59,https://www.facebook.com/phufinn/,"092-9590399, 080-2209660","คาเฟ่บนหุบเขา ท่ามกลางวิวธรรมชาติไม่ไกลเมืองขับรถจากตัวเมือง 15 นาที ลูกค้าได้มานั่งเล่นรับลมเย็นและกลิ่นไอของธรรมชาติรอบตัว มีทั้งที่นั่ง outdoor ชมวิวเมืองเชียงใหม่ลำพูน และที่นั่ง indoor ห้องแอร์เย็นๆ  ไปเติมพลังธรรมชาติ พร้อมมุมถ่ายรูปที่เป็นไฮไลท์คือบันได Touch the sky, มุมรังนก และมุมเก้าอี้ ทางร้านมีบริการขนม เครื่องดื่ม กาแฟ และอาหารหลากหลายเมนู"
3,เก้าคาเฟ่,Gao café,ร้านอาหารและคาเฟ่,18.7980802,98.9676801,496594.24,2078486,https://www.facebook.com/gaocafenimman,"093-5565255, 089-8848443","คาเฟ่สไตล์ไทย ผสมกับล้านนาสมัยใหม่ ที่มีจุดเริ่มต้นมาจาก ร้าน9สภาชาแฟ ที่ขึ้นชื่อในเรื่องขนม, เครื่องดื่ม, อาหารสไตล์ล้านนา ทั้งสภาเบรคฟาสต์ สภาปังหลุม  ข้าวต้มแห้งเจียงใหม่ ปูอ่อง ข้าวซอย  และเครื่องดื่ม ขนมอร่อยๆ เช่น ลาเต้ตุ๊บตับ อเมริกาโน่น้ำตาลสด โมจิข้าวหนุกงา และอื่นๆ ร้านนี้ถือว่าเป็นแลนมาร์คแห่งนิมมานเชียงใหม่ด้วยการดีไซน์ร้านด้วยโดมไม้ไผ่สานและการแต่งร้านและตกแต่งอาหารอย่างละเมียดละไม และอาหารขนมเครื่องดื่มก็มีเอกลักษณ์เฉพาะตัว"
4,ภูฟินอินเดอะเลค,Phufinn in the Lake,ร้านอาหารและคาเฟ่,18.7328124,98.9721188,497060.88,2071264.34,https://www.facebook.com/phufinn/,"093-1511041, 063-0698789","คาเฟ่ริมน้ำกับบรรยากาศริมชายหาด จำลองทะเลเชียงใหม่ในธีม Be Happy สีเหลือง  กับขนม เครื่องดื่มกาแฟ หลากหลายทั้งSmile Americano, Smile Latte, Peach Lemonade, Jerry Cheesecakeและยังมีบริการอาหารมากมายทั้งไทยจีนฝรั่ง  สามารถเลือกนั่งเล่นได้ทุกมุม พร้อมมุมถ่ายรูปใหม่ ที่มาพร้อมกับตู้ขายน้ำริมหาดคันเล็กสีเหลือง "
5,ผลิ ,Phli ,ร้านอาหารและคาเฟ่,18.8522308,99.043674,504600.73,2084477.83,https://www.facebook.com/phlicafe/,063 669 0955,คาเฟ่น่ารักย่านสันทราย ตกแต่งสไตล์เกาหลี ที่นำบ้านเก่ามารีโนเวทใหม่ กลายเป็นร้านสุดโฮมมี่แสนอบอุ่น  มี จุดเด่น คือ ประตูสีเขียว ตัดกับตัวร้านสีขาวและบ้านไม้ ภายในร้านใช้โทนสีขาว ประดับด้วยของตกแต่ง ทั้งภาพวาด ดอกไม้ ตัดด้วยเฟอร์นิเจอร์วินเทจและชุดโต๊ะเก้าอี้ไม้สีเข้ม มีมุมไฮไลท์ คือ ที่นั่งริมกระจกที่สามารถมองเห็นวิวภายนอกร้าน เมนูอาหารมีทั้งอาหารคาว เมนูเด่น คือ ข้าวซอยสูตรจีนฮ่อ จากร้านข้าวซอยเส้นนวลอันโด่งดังในย่านนิมมานเมื่อ 10 ปีก่อน มีทั้งเครื่องดื่ม และเบเกอรี่ต่างๆ
6,ทะเมโทซีเอ็นเอกซ์,Tomato cnx,ร้านอาหารและคาเฟ่,18.7870474,99.0081534,500859.19,2077264.96,https://www.facebook.com/tomato.cnx/,099 037 4242,คาเฟ่กาแฟสไตล์โมเดิร์นลอฟท์มีจุดเด่นที่สไตล์การแต่งร้าน ด้วยการจัดวางเฟอร์นิเจอร์ในมุมต่างๆได้แบบลงตัว มีมุมแปลกตาอย่างต้นไม้ใหญ่กลางร้าน กลายเป็นมุมสายรูป ข้างในสุดของร้านตกแต่งได้ความเก่านิดๆ เผยให้เห็นลวดลายกำแพงอิฐ แถมยังครีเอทเครื่องดื่มทั้งหน้าตา สีสัน ชวนให้ลิ้มลอง และยังรสชาติดีมากอีกด้วย
7,คีพอินทัช,keep in touch,ร้านอาหารและคาเฟ่,18.8400077,98.9806554,497962,2083124.95,https://www.facebook.com/keepintouchchiangmai/,089 999 0509,คาเฟ่ที่ตกแต่งในสไตล์ Rustic Home ใช้เฟอร์นิเจอร์เก่าแบบคลาสสิค  นอกจากนี้ยังมีโซนของ Garden House แบบเรือนกระจกผสมกับผนังอิฐแบบลอฟต์  ที่ถูกออกแบบมาเพื่อจัดวางต้นไม้และดอกไม้ รวมถึงต้นกระบองเพชร เป็นความเขียวขจีสดชื่นที่ผสมผสานกันได้แบบลงตัว เมนูอาหารมีทั้ง อาหารยุโรป อาหารไทย ของหวาน และเครื่องดื่มต่างๆ เมนูแนะนำ  อัญชันน้ำผึ้งมะนาว คีพอินทัชเอ็กเบเนดิก เสิร์ฟพร้อมกับปลาแซลมอลรมควัน ขนมชูครีมกับไอศกรีมรสเบอร์รี่  กุหลาบโฮมเมดวาฟเฟิลเสิร์ฟพร้อมกับผลไม้รวมตามฤดูกาลและไอศกรีมวนิลลา
8,เนเจอร์ทอร์ค,NatureTalk,ร้านอาหารและคาเฟ่,18.8880994,98.9782028,497704.34,2088446.07,https://www.facebook.com/Naturetalkthailand/,091 447 5348,คาเฟ่บ้านดินเชียงใหม่ในโซนแม่ริม เชียงใหม่ โดดเด่นด้วยอาคารที่ออกแบบเหมือนหมูบ้านยุโรป มีมุมถ่ายรูปน่ารักมากมาย  ทั้งภายในร้านที่ตกแต่งแบบยุโรปพร้อมมุมถ่ายภาพไฮไลท์ บ้านดินริมน้ำ มีดอกไม้แห้งประดับมากมาย เมนูมีทั้งอาหาเครื่องดื่ม ชา กาแฟ ขนมเค้กต่างๆ 
9,เดอะบารีสโทร แอท ปิงริเวอร์,The Baristro at Ping river,ร้านอาหารและคาเฟ่,18.81582,99.00025,500026.34,2080448.54,https://www.facebook.com/thebaristroatpingriver/,081 883 7402,ร้านกาแฟสไตล์มินิมอลที่ตั้งอยู่ริมแม่น้ำปิง ที่ดัดแปลงบ้านเก่าให้เป็นร้านกาแฟสุดชิค โดยตึกด้านนอกยังใช้โครงสร้างเดิม แต่ด้านในตกแต่งใหม่หมด เน้นใช้โทนสีเทาขาวให้ความรู้สึกอบอุ่น  ร้านกว้างขวางโซนที่นั่งมีให้เลือกหลากหลายทั้ง indoor & outdoor โดยเฉพาะโซนที่เป็นไฮไลท์เทอเรสที่ยื่นออกไปริมน้ำพร้อมเก้าอี้นั่ง
10,เดอะบารีสโทร แอท เทรนสเตชั่น,THE BARISTRO AT TRAIN STATION  ,ร้านอาหารและคาเฟ่,18.7821506,99.0162955,501717.27,2076723.3,https://www.facebook.com/thebaristroattrainstation/,065 354 1963,ร้านคาเฟ่ใกล้สถานีรถไฟเชียงใหม่ ตกแต่งสไตล์ลอฟท์ อิงคอนเซปต์รถไฟพร้อมเสริ์ฟเครื่องดื่ม เบอเกอรี่ รสชาติดี 
