nat_id,nat_nameTH,nat_nameEN,lat,long,x (easting) ,y (northing),Description
1,ทะเลหมอก กิ่วแม่ปาน,Kew Mae Pan nature trail,18.5481453,98.340377,430388.27,2050959.37,กิ่วแม่ปาน เส้นทางเดินศึกษาธรรมชาติระยะสั้นใน อุทยานแห่งชาติดอยอินทนนท์ ค่ะ ที่นี่เป็นจุดชมพระอาทิตย์ขึ้น และทะเลหมอกที่สวยงามมากๆ อีกแห่งในเชียงใหม่เลยทีเดียว
2,สวนพฤกษศาสตร์สมเด็จพระนางเจ้าสิริกิติ์,Queen Sirikit Botanic Garden,18.8988835,98.8583747,485084.99,2089645.22,สวนพฤกษศาสตร์สมเด็จพระนางเจ้าสิริกิติ์ อำเภอแม่ริม เป็นอีกหนึ่งที่เที่ยวยอดฮิตสำหรับคนรักธรรมชาติ ต้นไม้ ดอกไม้ ภายในมีนิทรรศการเกี่ยวกับพรรณไม้ไทย เรือนกระจกขนาดใหญ่ที่รวบรวมพรรณไม้ในเขตป่าดงดิบ จากทั่วทุกภูมิภาคของทวีปเอเชียมาจัดแสดง เสมือนว่าได้เข้าไปอยู่ในป่าจริงๆ เลยเดียว
3,ดอยหลวงเชียงดาว,Doi Chiang Dao,19.3922179,98.8323417,482395.75,2144234.98,"ดอยหลวงเชียงดาว เป็นที่เที่ยวอีกแห่งของเชียงใหม่ที่ความสวยงามและมีอุดมสมบูรณ์ของธรรมชาติมากๆ อีกทั้งยังเป็นยอดดอยที่สูงเป็นอันดับ 3 ของประเทศไทยในความสูงที่ 2,275 เมตร จากระดับน้ำทะเล แน่นอนว่า อากาศบนนี้จะดีมากๆ จนทำให้ใครๆ ก็อยากขึ้นไป กอดหมอก สัมผัสความงดงามของธรรมชาติ"
4,น้ำตกแม่สา,Mae Sa Waterfall,18.906237,98.8949658,488939,2090456.12,น้ำตกแม่สา น้ำตกขนาดใหญ่ที่มีความสวยงามในอำเภอแม่ริม และน่าเที่ยวไม่แพ้น้ำตกแห่งอื่นในจังหวัดเชียงใหม่เลยค่ะ ด้วยมีสายน้ำไหลชุ่มฉ่ำตลอดทั้งปี และมีจุดให้ลงเล่นน้ำอยู่หลายแห่งอีกด้วย บอกเลยว่าสดชื่น
5,สวนสนบ่อแก้ว,Bo Kaeo Pine Tree Garden,18.1566228,98.3863315,435091.98,2007622.16,สวนสนบ่อแก้ว ที่เที่ยว Unseen อีกแห่งของเชียงใหม่ สวยหยั่งกับเกาะนามิ เกาหลีเลยทีเดียว ที่นี่ตั้งอยู่เลยอุทยานแห่งชาติออบหลวงไปประมาณ 22 กิโลเมตร เป็นพื้นที่ทดลองปลูกสนภูเขาชนิดต่างๆ ทำให้มีต้นสนสูงเรียงรายไปอย่างสวยงาม 
6,ผาช่อ ,Phachor (Mae Wang National Park),18.4979165,98.7268616,471167.05,2045296.26,หน้าผาสุดอลังการกลางป่า ที่เที่ยวธรรมชาติ เชียงใหม่ ที่ต้องเช็คอิน ไปถ่ายรูปสวยๆ กันที่ ผาช่อ ที่เที่ยวสวย ที่เกิดจากการกัดเซาะของลมฝน จนกลายเป็นแผ่นดินที่สูงถึง 30 เมตร และเป็นหน้าผาตลอดแนวยาว ซึ่งจะมีลวดลายสวยงามอีกด้วย
7,ทุ่งดอกไฮเดรนเยีย ,Royal Project Khun Pae,18.5697388,98.5276185,450155.11,2053286.56,ทุ่งดอกไฮเดรนเยีย สีม่วง โครงการหลวงขุนแปะ ซึ่งจะบานเต็มที่ในช่วงเดือนพฤศจิกายน-เดือนกุมภาพันธ์ ของทุกปี ทำให้ในทุกๆ หน้าหนาว ที่นี่จึงเป็นที่เที่ยวสวยที่ต้องไม่พลาดไปเช็คอิน
8,จุดชมวิวดอยกิ่วลม ,Doi Kiew Lom View Point,19.3138177,98.6019834,458187.65,2135599.35,อุทยานแห่งชาติห้วยน้ำดัง จุดชมวิวสุดปัง ที่เที่ยวธรรมชาติ เชียงใหม่ ที่ต้องแวะไปสักครั้ง นอกจากธรรมชาติอันอุดมสมบูรณ์แล้ว ไฮไลท์ของที่นี่ก็คือ การมาเที่ยว ฟินไปกับทะเลหมอกที่ จุดชมวิวดอยกิ่วลม ซึ่งเป็นจุดที่เราจะได้เห็นทะเลหมอกในยามเช้า และชมพระอาทิตย์ขึ้น
9,ป่าสนวัดจันทร์ โครงการบ้านวัดจันทร์,Wat Chan Royal Project,19.080734,98.3306603,429584.81,2109894.99,โครงการหลวงวัดจันทร์ เป็นจุดเที่ยวชมธรรมชาติ และถ่ายรูปที่สวยงามมากๆ โดยเฉพาะในช่วงหน้าหนาว ที่นี่จะปกคลุมไปด้วยสายหมอก และอากาศเย็นๆ รวมถึงต้นไม้ที่เปลี่ยนสีสวยงาม นอกจากนี้ ที่นี่ยังมี เส้นทางศึกษาธรรมชาติไว้สำหรับนักท่องเที่ยวที่อยากใกล้ชิดกับธรรมชาติ
10,อ่างกา ,Kew Mae Pan Nature Trail,18.5887464,98.4837071,445527.53,2055402.34,อ่างกา หรือ เส้นทางศึกษาธรรมชาติอ่างกา ตั้งอยู่บนยอดของ ดอยอินทนนท์ ที่นี่ได้ชื่อว่าเป็น ป่าโบราณ ซึ่งเป็นต้นน้ำเหนือสุดของประเทศไทย ภายในป่าจะถูกปกคลุมด้วยเมฆตลอดเวลา 
