temp_id,temp_nameTH,temp_nameEN,lat,long,x (easting) ,y (northing),Description
1,วัดพระธาตุดอยสุเทพ,Wat Phra That Doi Suthep,18.8049889,98.919445,491511.76,2079252.06,วัดพระธาตุดอยสุเทพถือเป็นพระอารามหลวง ชั้นโท ชนิดราชวรวิหารและเป็นปูชนียสถานคู่เมืองเชียงใหม่นับตั้งแต่โบราณกาล
2,วัดพระสิงห์วรวิหาร,Wat Phra Singh Woramahawihan,18.7885802,98.9792284,497811,2077434.69,วัดพระสิงห์วรวิหารเป็นวัดสำคัญวัดหนึ่งของเมืองเชียงใหม่ ภายในมีพระสิงห์หรือพระพุทธสิหิงค์ ซึ่งเป็นพระพุทธรูปโบราณศิลปะเชียงแสนโบราณ
3,วัดเจดีย์หลวง,Wat Chedi Luang,18.7869693,98.9843917,498355.18,2077256.38,วัดเจดีย์หลวงวิหาร เป็นสถานที่ประดิษฐานเจดีย์ใหญ่ที่สุดในจังหวัดเชียงใหม่ สร้างขึ้นในรัชกาลพระเจ้าแสนเมืองมากษัตริย์องค์ที่ 7 แห่งราชวงศ์มังราย
4,วัดพันเตา,Wat Phantao,18.787683,98.9854279,498464.36,2077335.38,ภายในวัดแห่งนี้มีพระวิหารที่งดงามและสมบูรณ์ที่สุดของจังหวัดเชียงใหม่ ตัวอาคารเป็นเรือนไม้สักทั้งหลัง ตามศิลปะแบบเชียงแสน
5,วัดเชียงมั่น,Wat Chiang Man,18.7938126,98.9870816,498638.72,2078013.62,วัดเชียงมั่น เป็นวัดที่เก่าแก่ที่สุดในตัวเมืองเชียงใหม่ มีมาตั้งแต่สมัยแรกสร้างเมือง เมื่อ พ.ศ. 1839 นอกจากนี้วัดียงมั่นยังมี เจดีย์ช้างล้อม เป็นเจดีย์ประธาน สร้างตามแบบศิลปะล้านนา และยังมีหอไตรกลางน้ำสำหรับเก็บรักษาพระไตรปิฎกและคัมภีร์ต่างๆ ตามคติการสร้างและภูมิปัญญาล้านนา
6,วัดอุโมงค์,Wat Umong,18.7833134,98.9490015,494625.45,2076852.56,วัดอุโมงค์ ภายในอุโมงค์เคยมีภาพจิตรกรรมฝาผนัง สันนิษฐานว่าวาดในระหว่าง พ.ศ.1900-2000 แต่เดิมคงเป็นภาพจิตรกรรมเต็มบริเวณของทุกห้อง ส่วนใหญ่เป็นภาพดอกบัว ดอกโบตั๋น และ นกต่างๆ เช่น นกยูง นกกระสา นกแก้ว และนกเป็ดน้ำ
7,วัดสวนดอก,Wat Suan Dok,18.7882387,98.9655732,496372,2077397.18,ภายใน วัดสวนดอก แห่งนี้ยังมีปูชนียสถานและปูชนียวัตถุที่เก่าแก่และสวยงามมากมาย เช่น พระเจดีย์ใหญ่ทรงลังกา ซึ่งเป็นพระเจดีย์ใหญ่ที่บรรจุพระบรมสารีริกธาตุ พระเจ้าเก้าตื้อ เป็นพระพุทธรูปหล่อองค์ใหญ่
8,วัดโลกโมฬี,Wat Lok Moli,18.7960243,98.9803788,497932.39,2078258.32,วัดโลกโมฬี มีความงดงามประณีต ทั้งเจดีย์ทรงปราสาท มีประติมากรรมรูปเทวดาที่ประดับตามมุมของเจดีย์ วิหารหลวง เป็นวิหารที่สร้างขึ้นใหม่ภายหลังการบูรณะวัด เป็นศิลปะแบบล้านนา
9,วัดเจ็ดยอด,Wat Chet Yot,18.8090047,98.969525,496788.87,2079694.77,วัดเจ็ดยอด เป็นวัดที่สำคัญและเก่าแก่แห่งหนึ่งของเชียงใหม่ ลักษณะคล้ายกับมหาวิหารโพธิที่พุทธคยาในประเทศอินเดีย ที่ฐานเจดีย์ประดับปูนปั้นรูปเทวดา ด้านนอกพระเจดีย์ ประดับงานปูนปั้นรูปเทวดาทั้งนั่งขัดสมาธิและยืนทรงเครื่องที่มีลวดลายต่างกันไปดูงามน่าชม
10,วัดพระธาตุดอยคำ,Wat Phrathat Doi Kham,18.7594962,98.9164806,491197.08,2074218.62,วัดพระธาตุดอยคำ ยังมีชื่อเสียงเรื่องความศักดิ์สิทธิ์ของพระเจ้าทันใจ มีประชาชนขึ้นไปสักการะและบนบานเป็นจำนวนมาก และนอกจากจะเป็นที่สักการบูชาของคนท้องถิ่นแล้ว วัดแห่งนี้ยังเป็นสัญลักษณ์อีกแห่งหนึ่งของการบินไทยที่ใช้กำหนดพื้นที่ทางสายตา ก่อนที่จะนำเครื่องบินลงจอดที่สนามบินเชียงใหม่
