PlaceID,TYPE,TypeID,NAME_TH,NAME_EN,LAT,LONG,X,Y,PRICE,WEB,TEL
1,A,1,ท่าอากาศยานเชียงใหม่,Chiang Mai International Airport,18.767749,98.9618201,495976.02,2075130.14,-,-,-
2,B,1,สถานีขนส่งผู้โดยสารจังหวัดเชียงใหม่ แห่งที่ 1,Chiang Mai Bus Terminal 1,18.7787379,98.9492341,494649.86,2076346.35,-,-,-
3,B,2,สถานีขนส่งผู้โดยสารจังหวัดเชียงใหม่ แห่งที่ 3,Chiang Mai Bus Terminal 3,18.8097823,98.9509661,494833.34,2079781.18,-,-,-
4,B,3,รถแดงเชียงใหม่,Chiang Mai red car,18.7787307,99.0395817,504171.48,2076345.28,-,-,-
5,TR,1,สถานีรถไฟเชียงใหม่,Chiang Mai Railway Station,18.7836177,99.0168009,501770.58,2076885.62,-,-,-
6,AC,1,ออนเซน แอท ม่อนแจ่ม,Onsen At Moncham,18.9253592,98.8205796,481107.64,2092578.22,"เริ่มต้นที่ 5,000 บาท",http://www.onsenmoncham.com/ ,053-111606
7,AC,2,ม่อนแสนลี้,Mon saenli ,19.2135747,98.8422956,483422.95,2124466.84,1400 - 2800 บาท,https://reservation.roomscope.com/1690/th,097-973-3213
8,AC,3,คูลดาวส์ รีสอร์ท,Cool downs Resort,18.9114782,98.9053041,490027.99,2091035.41,"เริ่มต้น 2,640 บาท",https://www.facebook.com/cooldowns/,"053-044304,082-3862555,082-7660222"
9,AC,4,แอท นาตา เชียงใหม่ ชิควิว,At NaTa Chiangmai Chic View,18.9397242,98.8671722,486014.83,2094163.33,"เริ่มต้นที่ 2,250 บาท",https://www.atnatachicview.com/th,"091-7351174 , 081-6031717"
10,AC,5,อยู่ดินกินดีฟาร์มสเดย์,youdinkindee,18.9005548,98.9070925,490215.75,2089826.71,"เริ่มต้นช่วง Low  1,000 บาท , ราคาเริ่มต้นช่วง Hi 1,600 บาท ",http://www.youdinkindee.com/,091-4798687
11,AC,6,เดอะกระโจม แม่ริม,TheKrajom,18.9008031,98.9090598,490422.91,2089854.04,ราคาท่านละ 1500 บาท,https://www.facebook.com/pages/category/Product-Service/TheKrajom-%E0%B9%80%E0%B8%94%E0%B8%AD%E0%B8%B0%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B9%82%E0%B8%88%E0%B8%A1-%E0%B9%81%E0%B8%A1%E0%B9%88%E0%B8%A3%E0%B8%B4%E0%B8%A1-%E0%B9%80%E0%B8%8A%E0%B8%B5%E0%B8%A2%E0%B8%87%E0%B9%83%E0%B8%AB%E0%B8%A1%E0%B9%88-100942467994070/,061-4532653
12,AC,7,พักแรม รีสอร์ท,Pak Ram Resort,18.927451,98.9053258,490031.26,2092802.77,"Low Season เริ่มต้น 2,000 บาท , Hi Season เริ่มต้น 3,000 บาท ",https://www.facebook.com/PAKRAMVILLA/?__tn__=kC-R&eid=ARBI6cekliJDQdgWz0Pq6IrKLlbykN9dxSLYz-_gjQzrPHNlgq5yeafaZmb7h5dKwDuqNOfdDwQn90zI&hc_ref=ARSh_wiq_85IzVyfJvez7I_Q2TnJWE668HtvT2tiQ-XVqG2njK9OprF72l3H1VeEgFY&__xts__[0]=68.ARBH1zd_KIC6Kd-NSVmQWSgB7kQlmfeA_lpWK2BXcrK8CLKXrQLykw-NY3rUPvbEn8TVY4eNsiz5vu2ulfnywfUpwuanSWhyCVl-JiUh6SLdWOPJYG6ThQbjPuixhdfDQSXz5nL7s83RxMAkee5l1vkCYhRVsYDx1DWvUKoiukBYVm3w9sJL4KKVruvBFsFNniCR9dpMPRNduzTcR6VGptQadYIDP7kUMJo1IDG7uDXtBgmWB-1nzkAj0KWv3K8WcIExzGGgpZFGOMyq5nKy8KrDIhhnPnlBJRnXO4sucytPpXLl6qb5587p4974WwnrgS41HWV_cs6E-lqkGibFo73ftEE6CFeeDxKgLUr4MgNBGXrg3VHChdKy6yPhcrAKIGMi73t53AusxGc4mwPOZuhSbSTL27pvsTVysbHlOMLJ, 094-6961456
13,AC,8,ภูแสงเทียน,Phusangthian,18.9429242,98.7965701,478581.69,2094524.48,"เริ่มต้น 1,500 บาท",https://www.facebook.com/Phusangthian/  ,089 552 5114
14,AC,9,พราวภูฟ้า รีสอร์ท,Proud Phu Fah  Chiang mai,18.880821,98.8112987,480125.11,2087651.23,"เริ่มต้น  5,500-14,000 บาท",https://www.facebook.com/Proud-Phu-Fah-Chiang-mai-251464931532831/,"053-879389, 053-879286, 081-6477437, 053-879118"
15,AC,10,ฟลอร่า ครีค,Flora Creek Chiang Mai,18.772676,98.8596583,485209.07,2075680.69,"เริ่มต้น 1,500 - 12,000บาท",https://www.floracreekchiangmai.com/th/,052-001400
16,AC,11,พอเทล เชียงใหม่,Pawtel Chiangmai,18.9538735,98.9215529,491741.19,2095725.56,"เริ่มต้นที่ 2,000-3,500 บาท",www.pawtelchiangmai.com,053-044565
17,AC,12,แอท นาธา เชียงใหม่ ชิคจังเกิ้ล รีสอร์ท,At NaTa Chiangmai Chic Jungle Resort,18.9063336,98.9041163,489902.58,2090466.31,"เริ่มต้น 2,400 บาท",https://www.facebook.com/atnatachiangmai/,"053-044121, 081-6031717"
18,AC,13,รายา เฮอริเทจ,Raya Heritage,18.8488569,98.9830616,498215.67,2084104.03," เริ่มต้น 5,000-9,000บาท ",https://www.rayaheritage.com/en/ ,053-111670
19,AC,14,โมริ เนเชอรัล ฟาร์ม,Mori Natural Farm,18.8669499,98.8290823,481996.63,2086114.55,"เริ่มต้น 3,300 บาท /หลัง",-,081-787-8595
